Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3127305;GALILÉIA;-19,0009;-41,539;SE;Sudeste;MG_GALILEIA;GALILEIA
31;Minas Gerais;MG;3127339;GAMELEIRAS;-15,0838;-43,1203;SE;Sudeste;MG_GAMELEIRAS;GAMELEIRAS
31;Minas Gerais;MG;3127354;GLAUCILÂNDIA;-16,8485;-43,6923;SE;Sudeste;MG_GLAUCILANDIA;GLAUCILANDIA
31;Minas Gerais;MG;3127370;GOIABEIRA;-18,9811;-41,2239;SE;Sudeste;MG_GOIABEIRA;GOIABEIRA
31;Minas Gerais;MG;3127388;GOIANÁ;-21,5365;-43,196;SE;Sudeste;MG_GOIANA;GOIANA
31;Minas Gerais;MG;3127404;GONÇALVES;-22,655;-45,856;SE;Sudeste;MG_GONCALVES;GONCALVES
31;Minas Gerais;MG;3127503;GONZAGA;-18,8201;-42,4773;SE;Sudeste;MG_GONZAGA;GONZAGA
31;Minas Gerais;MG;3127602;GOUVEIA;-18,4524;-43,7427;SE;Sudeste;MG_GOUVEIA;GOUVEIA
31;Minas Gerais;MG;3127701;GOVERNADOR VALADARES;-18,8549;-41,9559;SE;Sudeste;MG_GOVERNADOR VALADARES;GOVERNADOR VALADARES
31;Minas Gerais;MG;3127800;GRÃO MOGOL;-16,5667;-42,8927;SE;Sudeste;MG_GRAO MOGOL;GRAO MOGOL
31;Minas Gerais;MG;3127909;GRUPIARA;-18,4968;-47,7226;SE;Sudeste;MG_GRUPIARA;GRUPIARA
31;Minas Gerais;MG;3128006;GUANHÃES;-18,7718;-42,9316;SE;Sudeste;MG_GUANHAES;GUANHAES
31;Minas Gerais;MG;3128105;GUAPÉ;-20,7636;-45,9156;SE;Sudeste;MG_GUAPE;GUAPE
31;Minas Gerais;MG;3128204;GUARACIABA;-20,572;-43,0098;SE;Sudeste;MG_GUARACIABA;GUARACIABA
31;Minas Gerais;MG;3128253;GUARACIAMA;-17,014;-43,673;SE;Sudeste;MG_GUARACIAMA;GUARACIAMA
31;Minas Gerais;MG;3128303;GUARANÉSIA;-21,3014;-46,7967;SE;Sudeste;MG_GUARANESIA;GUARANESIA
31;Minas Gerais;MG;3128402;GUARANI;-21,3568;-43,0331;SE;Sudeste;MG_GUARANI;GUARANI
31;Minas Gerais;MG;3128501;GUARARÁ;-21,7308;-43,0338;SE;Sudeste;MG_GUARARA;GUARARA
31;Minas Gerais;MG;3128600;GUARDA-MOR;-17,7678;-47,1001;SE;Sudeste;MG_GUARDA-MOR;GUARDA-MOR
31;Minas Gerais;MG;3128709;GUAXUPÉ;-21,3055;-46,7084;SE;Sudeste;MG_GUAXUPE;GUAXUPE
